location_id,region,expected_days,valid_days,net_revenue,on_time_rate,orders_per_labor_hour,refund_rate,completeness_pct,review_status
L0133,East,28,26,149128.81,0.8929719797887,11.32116436153104,0.02726180394573626,92.86,CHECK_DATA
L0162,South,28,26,82636.34,0.9008020261713803,12.215711118150143,0.02625894363740915,92.86,CHECK_DATA
L0026,South,28,25,156479.64,0.9041565778853915,11.92534162870792,0.02937337061603484,89.29,CHECK_DATA
L0016,Central,28,26,108969.69,0.9060992907801418,11.629848315178663,0.029648909467241275,92.86,CHECK_DATA
L0187,West,28,25,150023.46,0.9065857076132648,11.813753818211838,0.029132598324751992,89.29,CHECK_DATA
L0114,South,28,26,73416.6,0.9080512351326624,12.01495637723307,0.029783407814318746,92.86,CHECK_DATA
L0025,East,28,25,119497.59,0.9081282198053806,11.454082905172843,0.028093226852495736,89.29,CHECK_DATA
L0059,West,28,26,102424.26,0.9085183957573749,11.444691400239357,0.027313204561998133,92.86,CHECK_DATA
L0146,South,28,26,44945.02,0.9098305084745762,12.453550521761262,0.026698485639234354,92.86,CHECK_DATA
L0212,Central,28,26,161716.14,0.9102270360341596,12.533514746488455,0.0317283002600062,92.86,CHECK_DATA
L0246,South,28,26,150398.09,0.9107755662319835,12.073885350318472,0.024399089669760086,92.86,CHECK_DATA
L0014,South,28,25,154176.3,0.9111984282907662,11.340057636887607,0.027608250555379694,89.29,CHECK_DATA
L0204,Central,28,26,81960.71,0.9115417017691659,12.742838327296674,0.021149134209370996,92.86,CHECK_DATA
L0105,East,28,26,131913.15,0.911615487316422,12.114983616324098,0.026501608104780198,92.86,CHECK_DATA
L0111,West,28,25,73503.67,0.9116719242902208,12.071213640922767,0.02733373331960641,89.29,CHECK_DATA
L0083,West,28,26,97709.84,0.9118899443170652,11.286519733470016,0.030386531172613016,92.86,CHECK_DATA
L0038,South,28,26,105507.14,0.9128706817487007,11.567698578825603,0.032405881473614895,92.86,CHECK_DATA
L0007,West,28,26,71527.1,0.9134199134199135,11.660522931847407,0.025157091271374533,92.86,CHECK_DATA
L0115,West,28,25,131473.52,0.9136803557415643,11.796954314720812,0.027679443510590408,89.29,CHECK_DATA
L0248,Central,28,26,90070.98,0.9140855457227138,12.498584371460929,0.025667702971967833,92.86,CHECK_DATA
L0130,South,28,26,105431.67,0.9146382127375792,13.111170712082608,0.0295283617523699,92.86,CHECK_DATA
L0205,East,28,26,55435.9,0.9158386908240795,11.193628670980587,0.027868259392488465,92.86,CHECK_DATA
L0210,South,28,26,150154.61,0.915918752952291,11.851691240242845,0.030824764426325903,92.86,CHECK_DATA
L0032,Central,28,25,165919.27,0.9166839808851028,11.080838736377432,0.030628862428149838,89.29,CHECK_DATA
L0226,South,28,26,85441.38,0.9171292624900872,12.66501777709074,0.02779003198205082,92.86,CHECK_DATA
L0134,South,28,26,48810.99,0.9177583697234353,12.15200107802183,0.030805310785303804,92.86,CHECK_DATA
L0170,South,28,26,147086.9,0.9182844243792325,12.218089602704987,0.0233879253438067,92.86,CHECK_DATA
L0082,South,28,26,101218.38,0.9183321847002067,10.829569492882055,0.025734515240299082,92.86,CHECK_DATA
L0123,West,28,26,111188.8,0.9183442018712787,10.974452379811149,0.02377779506434848,92.86,CHECK_DATA
L0099,West,28,26,111510.67,0.9185161699429296,12.026197781449138,0.02827772389519649,92.86,CHECK_DATA
L0152,Central,28,26,44308.61,0.9185291997116077,11.532268370607028,0.02439593109037909,92.86,CHECK_DATA
L0048,Central,28,25,34823.95,0.9188376753507014,12.478797224363916,0.02614484913668948,89.29,CHECK_DATA
L0060,Central,28,26,114659.86,0.9189108318372232,12.786255096097845,0.028685495417170602,92.86,CHECK_DATA
L0200,Central,28,26,146195.27,0.9192702394526796,13.718460789089137,0.03148632506530226,92.86,CHECK_DATA
L0236,Central,28,26,53954.1,0.9193846153846154,12.441208069714696,0.0234391190877533,92.86,CHECK_DATA
L0141,East,28,26,46718.8,0.9195571955719557,12.017816169523552,0.029207838599995303,92.86,CHECK_DATA
L0244,Central,28,26,188966.1,0.9198975859546452,11.468020435879195,0.0240412971733438,92.86,CHECK_DATA
L0219,West,28,22,136159.76,0.9200794241747332,13.99223178668906,0.03354881910828396,78.57,CHECK_DATA
L0233,East,28,26,109350.84,0.9203427483338623,11.588172103805055,0.030203668968086097,92.86,CHECK_DATA
L0023,West,28,26,127586.76,0.9205083478694244,11.004634156711024,0.026713164498348634,92.86,CHECK_DATA
L0218,South,28,26,142550.65,0.9209947183098591,11.833818892924134,0.03018983836797784,92.86,CHECK_DATA
L0093,East,28,26,115849.76,0.9215291750503019,11.918004131574765,0.026668252902441795,92.86,CHECK_DATA
L0010,South,28,26,148319.13,0.921639413888299,11.81349507202426,0.028124341054347118,92.86,CHECK_DATA
L0128,Central,28,26,159106.88,0.9219383617193836,13.299394950970164,0.0321955340340397,92.86,CHECK_DATA
L0132,Central,28,25,129915.57,0.9220430107526881,13.526382870252357,0.02666556783211806,89.29,CHECK_DATA
L0183,West,28,26,145741.21,0.9222074468085106,12.656028216267366,0.027838514204853015,92.86,CHECK_DATA
L0149,East,28,26,125273.39,0.9223644783437756,12.977953274103324,0.028950927963549634,92.86,CHECK_DATA
L0215,West,28,26,68043.05,0.9229157938835358,12.794081381011097,0.027551751178740525,92.86,CHECK_DATA
L0121,East,28,26,190139.27,0.9232231090839985,11.303720701524341,0.030577361360533354,92.86,CHECK_DATA
L0074,South,28,26,118376.92,0.9236091890395793,11.614722469575542,0.0311126673078612,92.86,CHECK_DATA
L0189,East,28,26,176103.35,0.9243992606284658,11.806667342182593,0.028319023336287313,92.86,CHECK_DATA
L0190,South,28,25,78239.66,0.9249521988527725,13.143407122232917,0.025679994012588258,89.29,CHECK_DATA
L0171,West,28,26,52804.36,0.9249845009299442,11.94409726167481,0.0302174355813596,92.86,CHECK_DATA
L0080,Central,28,26,140470.28,0.9251361161524501,12.232222081379135,0.02729065081860596,92.86,CHECK_DATA
L0072,Central,28,26,139835.57,0.9256951102588686,11.974392033076958,0.025833506857592815,92.86,CHECK_DATA
L0224,Central,28,26,117997.74,0.9261992619926199,12.80259781071597,0.02726993792709232,92.86,CHECK_DATA
L0143,West,28,26,157883.33,0.9263041065482797,11.463395516538643,0.02439118888353418,92.86,CHECK_DATA
L0112,Central,28,24,66918.19,0.9268857010643221,11.914434955642152,0.024718345555775463,85.71,CHECK_DATA
L0092,Central,28,25,103440.87,0.9270833333333334,12.460739458390009,0.029179553814900897,89.29,CHECK_DATA
L0075,West,28,26,80335.88,0.9271523178807947,12.493969340907322,0.026918929735195486,92.86,CHECK_DATA
L0144,Central,28,26,99542.3,0.9282442748091603,12.17451047749914,0.024846539823234252,92.86,CHECK_DATA
L0028,Central,28,25,129984.46,0.928589452435024,11.855008663887979,0.02981887239831622,89.29,CHECK_DATA
L0052,Central,28,26,161038.32,0.9292750197005516,11.509473684210526,0.02608727205432777,92.86,CHECK_DATA
L0100,Central,28,25,168722.5,0.9297616536595655,10.68955987010295,0.030106102129946726,89.29,CHECK_DATA
L0047,West,28,26,121301.73,0.931014984450099,12.320335159523042,0.02965354085812281,92.86,CHECK_DATA
L0063,West,28,26,50467.59,0.9321608040201005,11.508130986856761,0.021976446083755912,92.86,CHECK_DATA
L0056,Central,28,26,73028.92,0.9334939759036145,12.712152712152712,0.03498702769759009,92.86,CHECK_DATA
L0118,South,28,26,42992.14,0.9347826086956522,12.70225313775896,0.02516420483185203,92.86,CHECK_DATA
L0127,West,28,26,155745.08,0.9362898188632105,12.079635774365306,0.024604418409136228,92.86,CHECK_DATA
L0017,East,28,27,76030.23,0.6991351843422849,12.672210065645514,0.02430315783205771,96.43,REVIEW_SERVICE
L0004,Central,28,27,67188.25,0.9026969857218403,12.776463326818229,0.02473526802407003,96.43,MONITOR
